priority,kind,page,line,target,alt,nav_rank,status,reason,capture_instruction,lead_in_to_delete
P1,image,getting_started/get_started.md,26,img/login_form.png,Login screen,2,removed,"Fails the necessity test: the prose says only ""To log in, enter the user credentials on the login screen"" and a two-field username/password form conveys nothing the sentence does not already state; the shot is mostly the ""Welcome to Ibexa DXP"" marketing panel.",,
P1,image,getting_started/get_started.md,53,img/user_profile_preview.png,User profile,2,done,"Blocked on environment: the avatar drop-down on this instance has no Profile entry (only Focus mode / User settings / Logout) and /user/profile and /user/profile/view both 404. The user-profile feature is not enabled here, so the screen cannot be shot. RETAKE NOTE: Shot on the local non-SaaS 6.0 instance (localhost:8000) as a new user 'Elena Marsh' in the Editors user group, whose 'Editor' content type is the one the user_profile feature is configured for. The avatar drop-down entry is labelled 'View Profile', not 'Profile' as the prose says. The Editor role was given the Activity Log/Read policy so the Recent activity panel is populated.","Log in as admin at https://piano.stg.cohesivo.app/. First fill in the Administrator User profile (User settings > Account settings / profile edit) so Full name, Email, Job Title, Department, Location and Phone are all populated, and edit one content item so the Recent activity panel has 2-3 entries. Then open the avatar icon in the upper-right corner of the top bar and leave the drop-down open with Profile hovered, with the User profile screen (avatar, name, Summary and Recent activity panels) visible behind it. Crop from the top bar down to just below the Summary/Recent activity panel headings; exclude the browser chrome. Highlight the Profile entry in the drop-down with a 2px #FF4713 rectangle.",
P1,image,getting_started/get_started.md,75,img/user_profile_avatar.png,Edit avatar,2,done,"Blocked on environment: same as user_profile_preview.png - there is no User profile screen on this instance, so the Image field with the Edit image toolbar cannot be reached. RETAKE NOTE: Shot on the local non-SaaS 6.0 instance (localhost:8000); avatar uploaded on User profile > Summary > Edit. The portrait is a generated flat illustration, not a photograph of a real person.","Go to the avatar drop-down > Profile > Summary > Edit. In the Image field, upload a dummy portrait photo (any realistic headshot; the repository has no images, so the file must come from local disk). Hover the uploaded thumbnail so the Delete / Preview / Edit image toolbar appears. Crop to the Image field only: the dashed drop area with the thumbnail plus the File name / Master dimension / Size column on its right; exclude the rest of the form. Highlight Edit image with a 2px #FF4713 rectangle.",
P1,image,getting_started/get_started.md,87,img/user_preferences.png,User preferences menu,2,done,"Passes: the prose only says user settings are ""on the right side of the top bar"", and the avatar drop-down that actually holds the User settings entry is an unlabeled icon a new user cannot locate from that sentence.","Log in, click the avatar icon at the far right of the top bar and keep the drop-down open (Logged as ... / Focus mode toggle / Profile / User settings / Logout) with User settings hovered; the User settings > Preferences screen should be visible behind it so the destination is shown too. Crop from the top bar to roughly the Location settings table; keep the whole drop-down in frame. Highlight the drop-down panel with a 2px #FF4713 rectangle.",
P1,image,getting_started/get_started.md,141,img/change_password.png,Change password,2,done,"Passes narrowly: the prose sends the reader to ""your user profile"" but the Change password action actually lives on the Account settings tab of User settings, so the image resolves a path the text states incorrectly.","Click the avatar icon > User settings, then select the Account settings tab. Crop to the User settings page area: breadcrumb, page title, the Preferences / Account settings tabs (Account settings active) and the Password panel with the Change password action. Exclude the left menu below the fold. Highlight the Change password link with a 2px #FF4713 rectangle.",
P1,image,getting_started/get_started.md,146,img/editing_password.png,Editing password,2,removed,"Fails the necessity test: it is an empty three-field form (Current / New / Confirm password) that only repeats ""Fill in all the required fields and click Save and close"", and an empty screenshot also breaks the never-shoot-an-empty-screen guideline.",,
P1,arcade,getting_started/get_started.md,148,hmXfcsazcGSJbHzOpKAx,"Log in, navigate to the user profile, and change the password",2,removed,All 29 Arcade embeds are being removed; this one sits at the very end of the page with no introducing sentence of its own.,,
P1,image,getting_started/discover_ui.md,12,img/top_bar_all.png,Top bar,3,done,"Passes: the A-F list immediately below is unreadable without the lettered callouts on the top bar, so the image carries the whole legend. | RETAKE NOTE: Shot without the notification badge: no notifications can be generated on this instance. Still NEEDS HUMAN ANNOTATION for the A-F badges.","Log in and open any Content structure screen so the top bar shows all elements, with Focus mode on (so the Focus mode badge is present) and at least one unread notification so the bell has a badge. Crop to the full-width top bar only (logo, Focus mode badge, Search field, Site context drop-down, notification bell, avatar) - one narrow strip, no page body. NEEDS HUMAN ANNOTATION: six lettered badges A-F must be placed over the logo, Focus mode badge, search field, Site context drop-down, bell and avatar respectively; Snagit is unavailable so the badges cannot be reproduced by the capture tool.",
P1,image,getting_started/discover_ui.md,24,img/top_bar.png,Top bar with site context selector,3,done,"Passes: item D of the list only names the drop-down, so the image must show the expanded Site context list (All context plus each SiteAccess) since the drop-down itself is the subject.","Go to Content > Content structure, then click the Site: All context drop-down at the right of the top bar and keep it open so every entry is visible (All context and each configured SiteAccess with its language). Keep the parent screen (content tree and content item view) visible behind the open panel. Crop from the top bar down to just below the last drop-down entry. Highlight the Site context drop-down button with a 2px #FF4713 rectangle.",
P1,image,getting_started/discover_ui.md,42,dashboard.png,Dashboard,3,removed,"Redundant duplicate: the very same file (img/dashboard.png) is the main illustration on the dedicated Dashboard page, and this three-line section already links to it with ""For more information, see Work with dashboard"".",,
